2025-05-01 09:45:08.344 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:45 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:45","count":0}
2025-05-01 09:45:38.399 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:45 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:45","count":0}
2025-05-01 09:46:08.403 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:46 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:46","count":0}
2025-05-01 09:46:38.351 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:46 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:46","count":0}
2025-05-01 09:47:08.353 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:47 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:47","count":0}
2025-05-01 09:47:38.352 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:47 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:47","count":0}
2025-05-01 09:48:08.348 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:48 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:48","count":0}
2025-05-01 09:48:38.354 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:48 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:48","count":0}
2025-05-01 09:49:08.359 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:49 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:49","count":0}
2025-05-01 09:49:38.355 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:49 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:49","count":0}
2025-05-01 09:50:08.727 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:50 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:50","count":0}
2025-05-01 09:50:38.366 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:50 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:50","count":0}
2025-05-01 09:51:08.368 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:51 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:51","count":0}
2025-05-01 09:51:35.735 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:51 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:51","count":0}
2025-05-01 09:51:40.510 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:51 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:51","count":0}
2025-05-01 09:51:55.523 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:51 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:51","count":0}
2025-05-01 09:52:09.862 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:52 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:52","count":0}
2025-05-01 09:52:39.888 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:52 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:52","count":0}
2025-05-01 09:53:09.867 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:53 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:53","count":0}
2025-05-01 09:53:39.865 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:53 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:53","count":0}
2025-05-01 09:54:09.868 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:54 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:54","count":0}
2025-05-01 09:54:39.870 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:54 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:54","count":0}
2025-05-01 09:54:58.490 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:54 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:54","count":0}
2025-05-01 09:55:09.332 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:55 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:55","count":0}
2025-05-01 09:55:27.798 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:55 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:55","count":0}
2025-05-01 09:55:57.799 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:55 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:55","count":0}
2025-05-01 09:56:27.809 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:56 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:56","count":0}
2025-05-01 09:56:57.793 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:56 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:56","count":0}
2025-05-01 09:57:27.800 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:57 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:57","count":0}
2025-05-01 09:57:57.796 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:57 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:57","count":0}
2025-05-01 09:58:27.808 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:58 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:58","count":0}
2025-05-01 09:58:57.793 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:58 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:58","count":0}
2025-05-01 09:59:27.810 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:59 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:59","count":0}
2025-05-01 09:59:57.795 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:59 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:59","count":0}
2025-05-01 10:00:28.213 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:00 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:00","count":0}
2025-05-01 10:00:57.792 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:00 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:00","count":0}
2025-05-01 10:01:27.800 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:01 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:01","count":0}
2025-05-01 10:01:57.803 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:01 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:01","count":0}
2025-05-01 10:02:27.822 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:02 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:02","count":0}
2025-05-01 10:02:57.898 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:02 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:02","count":0}
2025-05-01 10:03:28.373 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:03 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:03","count":0}
2025-05-01 10:03:57.812 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:03 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:03","count":0}
2025-05-01 10:04:27.794 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:04 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:04","count":0}
2025-05-01 10:04:57.799 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:04 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:04","count":0}
2025-05-01 10:05:27.799 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:05 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:05","count":0}
2025-05-01 10:05:57.800 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:05 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:05","count":0}
2025-05-01 10:06:27.844 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:06 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:06","count":0}
2025-05-01 10:06:57.827 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:06 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:06","count":0}
