2025-04-24 14:02:33.198 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:02 | 출입자 수: 1
2025-04-24 14:03:33.205 [http-nio-10253-exec-7] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:03 | 출입자 수: 1
2025-04-24 14:04:33.212 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:04 | 출입자 수: 0
2025-04-24 14:05:33.219 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:05 | 출입자 수: 1
2025-04-24 14:06:33.181 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:06 | 출입자 수: 1
2025-04-24 14:07:33.188 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:07 | 출입자 수: 0
2025-04-24 14:08:33.180 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:08 | 출입자 수: 2
2025-04-24 14:09:33.353 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:09 | 출입자 수: 0
2025-04-24 14:10:33.656 [http-nio-10253-exec-7] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:10 | 출입자 수: 0
2025-04-24 14:11:33.202 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:11 | 출입자 수: 1
2025-04-24 14:12:33.251 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:12 | 출입자 수: 1
2025-04-24 14:53:51.368 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:53 | 출입자 수: 1
2025-04-24 14:54:52.039 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:54 | 출입자 수: 1
2025-04-24 14:55:52.044 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:55 | 출입자 수: 1
2025-04-24 14:56:52.127 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:56 | 출입자 수: 0
2025-04-24 14:57:52.134 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:57 | 출입자 수: 0
2025-04-24 14:58:55.036 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:58 | 출입자 수: 1
2025-04-24 14:59:55.119 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 05:59 | 출입자 수: 0
2025-04-24 15:00:55.451 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:00 | 출입자 수: 0
2025-04-24 15:01:55.133 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:01 | 출입자 수: 0
2025-04-24 15:02:55.142 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:02 | 출입자 수: 1
2025-04-24 15:03:55.047 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:03 | 출입자 수: 1
2025-04-24 15:04:55.071 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:04 | 출입자 수: 1
2025-04-24 15:05:55.036 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:05 | 출입자 수: 0
2025-04-24 15:06:55.037 [http-nio-10253-exec-10] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:06 | 출입자 수: 0
2025-04-24 15:07:55.076 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:07 | 출입자 수: 0
2025-04-24 15:08:55.094 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:08 | 출입자 수: 0
2025-04-24 15:09:55.099 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:09 | 출입자 수: 1
2025-04-24 15:10:52.440 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:10 | 출입자 수: 0
2025-04-24 15:11:55.058 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:11 | 출입자 수: 2
2025-04-24 15:12:55.066 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:12 | 출입자 수: 1
2025-04-24 15:13:55.057 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:13 | 출입자 수: 1
2025-04-24 15:14:55.058 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:14 | 출입자 수: 1
2025-04-24 15:15:55.138 [http-nio-10253-exec-10] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:15 | 출입자 수: 1
2025-04-24 15:16:55.769 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:16 | 출입자 수: 1
2025-04-24 15:17:52.768 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:17 | 출입자 수: 2
2025-04-24 15:18:55.767 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:18 | 출입자 수: 1
2025-04-24 15:19:55.767 [http-nio-10253-exec-7] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:19 | 출입자 수: 2
2025-04-24 15:20:56.293 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:20 | 출입자 수: 1
2025-04-24 15:21:52.097 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:21 | 출입자 수: 0
2025-04-24 15:22:52.093 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:22 | 출입자 수: 2
2025-04-24 15:23:52.089 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:23 | 출입자 수: 1
2025-04-24 15:24:52.759 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:24 | 출입자 수: 1
2025-04-24 15:25:55.760 [http-nio-10253-exec-7] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:25 | 출입자 수: 1
2025-04-24 15:26:55.762 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:26 | 출입자 수: 1
2025-04-24 15:27:55.760 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:27 | 출입자 수: 1
2025-04-24 15:28:55.777 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:28 | 출입자 수: 1
2025-04-24 15:29:55.762 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:29 | 출입자 수: 1
2025-04-24 15:30:53.120 [http-nio-10253-exec-10] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:30 | 출입자 수: 1
2025-04-24 15:31:55.760 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:31 | 출입자 수: 1
2025-04-24 15:32:55.759 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:32 | 출입자 수: 1
2025-04-24 15:33:52.760 [http-nio-10253-exec-7] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:33 | 출입자 수: 1
2025-04-24 15:34:55.762 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:34 | 출입자 수: 1
2025-04-24 15:35:55.755 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:35 | 출입자 수: 1
2025-04-24 15:43:56.536 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:43 | 출입자 수: 1
2025-04-24 15:46:14.808 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-24 06:46 | 출입자 수: 0
